use_no,prodno,chem_code,prodchem_pct,lbs_chm_used,lbs_prd_used,amt_prd_used,unit_of_meas,acre_planted,unit_planted,acre_treated,unit_treated,applic_cnt,applic_dt,applic_time,county_cd,base_ln_mer,township,tship_dir,range,range_dir,section,site_loc_id,grower_id,license_no,planting_seq,aer_gnd_ind,site_code,qualify_cd,batch_no,document_no,summary_cd,record_id,comtrs,error_flag
2569246,64914,560,80,120,150,150,LB,54.97,A,25,A,1,05/17/2021,0400,17,M,13,N,09,W,05,"KV15H123","17211700123","",,G,29143,0,1704,413,1,A,17M13N09W05,
2569276,64941,,,,5.2489,80,OZ,5,A,5,A,1,07/22/2021,1100,17,M,13,N,09,W,10,"KV17D159","17201700159","",,G,29143,0,1704,87,2,A,17M13N09W10,
2568352,65099,5770,1.38,7.546599,546.855,62.87,GA,66.38,A,62.87,A,1,07/02/2021,0100,17,M,14,N,07,W,27,"OK86C105","17211700105","",,G,29143,0,1704,486,1,A,17M14N07W27,
2568767,70671,560,98,84.084,85.8,85.8,LB,10,A,8.58,A,1,06/23/2021,0500,17,M,14,N,09,W,33,"KV09A497","17211700497","",,G,29143,0,1704,814,1,A,17M14N09W33,
2568427,64941,,,,78.8181,1201.28,OZ,626,A,75.08,A,1,07/10/2021,2359,17,M,12,N,08,W,03,"RH38A011","17211700011","",,G,29143,0,1704,191,1,A,17M12N08W03,
2568832,73071,,,,.9191,13.58,OZ,15.1,A,5.66,A,1,07/01/2021,0800,17,M,13,N,09,W,22,"KV49D159","17201700159","",,G,29143,0,1704,828,1,A,17M13N09W22,
2568977,58337,2629,95,210.7575,221.85,221.85,LB,24.5,A,11.09,A,1,06/24/2021,0400,17,M,14,N,07,W,28,"OK86B105","17211700105","",,G,29143,0,1704,323,1,A,17M14N07W28,
2569030,30369,560,98,2038.2432,2079.84,2079.84,LB,173.32,A,173.32,A,1,05/24/2021,0300,17,M,11,N,07,W,35,"MT19A105","17211700105","",,G,29143,0,1704,339,1,A,17M11N07W35,X
2568663,58337,2629,95,643.53,677.4,677.4,LB,33.87,A,33.87,A,1,06/16/2021,0100,17,M,14,N,07,W,28,"OK96D105","17211700105","",,G,29143,0,1704,780,1,A,17M14N07W28,
2568271,50440,5787,22.58,6.62212692,29.3274,3.23,GA,69,A,69,A,1,07/20/2021,0700,17,M,13,N,09,W,09,"KV27A159","17201700159","",,G,29143,0,1704,1000,1,A,17M13N09W09,
2568458,51055,,,,38.0081,4.4,GA,22,A,22,A,1,07/26/2021,0100,17,M,14,N,06,W,30,"OK00C584","17211700584","",,G,29143,0,1704,1033,2,A,17M14N06W30,
2568888,65789,3907,15,1.536,10.24,10.24,LB,14,A,14,A,1,07/28/2021,1100,17,M,15,N,10,W,13,"UL89G159","17201700159","",,G,4003,0,1704,304,1,A,17M15N10W13,
2568896,30369,560,98,1497.048,1527.6,1527.6,LB,127.5,A,127.3,A,1,06/09/2021,0200,17,M,14,N,07,W,28,"OK86A105","17211700105","",,G,29143,0,1704,312,1,A,17M14N07W28,
2568381,69322,401,98.5,125.8474415,127.7639,18,GA,12,A,12,A,1,07/21/2021,1000,17,M,15,N,10,W,12,"UL89D159","17201700159","",,G,4003,0,1704,150,2,A,17M15N10W12,
2568233,50440,5787,22.58,.63555926,2.8147,.31,GA,20,A,6,A,1,07/07/2021,2300,17,M,13,N,09,W,05,"KV08B123","17211700123","",,G,29143,0,1704,108,1,A,17M13N09W05,
2568252,51055,,,,19.0041,2.2,GA,11,A,11,A,1,06/09/2021,0100,17,M,14,N,06,W,30,"OK00F584","17211700584","",,G,29143,0,1704,127,3,A,17M14N06W30,
2568584,70053,6024,30,15,50,50,LB,54.97,A,25,A,1,05/15/2021,0400,17,M,13,N,09,W,05,"KV15H123","17211700123","",,G,29143,0,1704,717,2,A,17M13N09W05,
2569101,61290,5990,25.2,6.0101244,23.8497,307.5,OZ,20.5,A,20.5,A,1,07/20/2021,0500,17,M,13,N,09,W,15,"KV28A159","17201700159","",,G,29143,0,1704,376,1,A,17M13N09W15,
2569103,61290,5990,25.2,5.7169476,22.6863,292.5,OZ,19.5,A,19.5,A,1,07/23/2021,1030,17,M,13,N,09,W,01,"KV12A159","17201700159","",,G,29143,0,1704,378,1,A,17M13N09W01,
2569172,63468,,,,25.1391,2.93,GA,94,A,93.93,A,1,07/02/2021,0100,17,M,14,N,07,W,28,"OK97A105","17211700105","",,G,29143,0,1704,936,3,A,17M14N07W28,
2568840,64941,,,,26.2447,400,OZ,25,A,25,A,1,07/20/2021,0630,17,M,15,N,09,W,25,"UL00A159","17201700159","",,G,29143,0,1704,836,2,A,17M15N09W25,
2568129,56834,,,,23.7451,2.59,GA,25,A,8.64,A,1,06/18/2021,1000,17,M,13,N,09,W,02,"KV11B497","17211700497","",,G,29143,0,1704,963,4,A,17M13N09W02,
2568328,30369,560,98,39.837,40.65,40.65,LB,61.68,A,2.03,A,1,06/14/2021,0200,17,M,14,N,07,W,28,"OK96E105","17211700105","",,G,29143,0,1704,462,1,A,17M14N07W28,
2568800,47369,510,1.4,.2206386,15.7599,2.05,GA,127.5,A,4.1,A,1,06/14/2021,0200,17,M,14,N,07,W,28,"OK86A105","17211700105","",,G,29143,0,1704,24,2,A,17M14N07W28,
2568805,63468,,,,11.1539,1.3,GA,20,A,17.43,A,1,06/14/2021,0100,17,M,14,N,07,W,23,"OK88A105","17211700105","",,G,29143,0,1704,29,3,A,17M14N07W23,
2568671,65099,5770,1.38,4.79059548,347.1446,39.91,GA,39.91,A,39.91,A,1,07/02/2021,0100,17,M,14,N,07,W,25,"OK89A105","17211700105","",,G,29143,0,1704,788,1,A,17M14N07W25,
2568748,73824,5787,22.58,.57016758,2.5251,.28,GA,6,A,6,A,1,07/02/2021,0100,17,M,14,N,06,W,30,"OK00B584","17211700584","",,G,29143,0,1704,270,2,A,17M14N06W30,
2568785,66769,3946,24.5,4.3419145,17.7221,1.85,GA,10,A,3.7,A,1,06/07/2021,1200,17,M,14,N,09,W,33,"KV09A497","17211700497","",,G,29143,0,1704,1116,3,A,17M14N09W33,
2568229,50828,,,,1.058,.13,GA,1,A,1,A,1,04/22/2021,0100,17,M,14,N,06,W,30,"OK00I584","17211700584","",,G,29143,0,1704,1195,3,A,17M14N06W30,
2568454,51055,,,,38.0081,4.4,GA,22,A,22,A,1,06/09/2021,0100,17,M,14,N,06,W,30,"OK00C584","17211700584","",,G,29143,0,1704,1029,3,A,17M14N06W30,
2568502,68809,156,23.82,101.906724,427.82,427.82,LB,427.82,A,427.82,A,1,04/19/2021,0400,17,M,11,N,07,W,35,"MT19A105","17211700105","",,G,29143,0,1704,737,2,A,17M11N07W35,X
2569122,49868,5802,51,.255,.5,.5,LB,1,A,1,A,1,01/26/2021,0100,17,M,14,N,06,W,30,"OK00E584","17211700584","",,G,29143,0,1704,598,1,A,17M14N06W30,
2568331,65099,5770,1.38,5.97174024,432.7348,49.75,GA,61.68,A,49.75,A,1,06/09/2021,0100,17,M,14,N,07,W,28,"OK96E105","17211700105","",,G,29143,0,1704,465,1,A,17M14N07W28,
2568338,63468,,,,21.8787,2.55,GA,34,A,34,A,1,06/14/2021,0100,17,M,14,N,07,W,28,"OK96D105","17211700105","",,G,29143,0,1704,472,3,A,17M14N07W28,X
2568637,66769,3946,24.5,21.9911755,89.7599,9.37,GA,60.61,A,18.75,A,1,07/22/2021,0600,17,M,13,N,09,W,16,"KV27A105","17211700105","",,G,29143,0,1704,1082,3,A,17M13N09W16,
2568753,65921,2254,2,.268842,13.4421,1.63,GA,13,A,13,A,1,07/26/2021,0100,17,M,14,N,06,W,30,"OK00D584","17211700584","",,G,29143,0,1704,275,3,A,17M14N06W30,
2569042,65564,358,29,147.794469,509.6361,48,GA,8,A,8,A,1,01/21/2021,0800,17,M,13,N,09,W,03,"KV10F107","17211700569","",,G,4003,0,1704,876,2,A,17M13N09W03,
2569143,64941,,,,4.1992,64,OZ,4,A,4,A,1,07/17/2021,0400,17,M,14,N,09,W,35,"KV05C104","17201700104","",,G,29143,0,1704,382,2,A,17M14N09W35,
2568727,69886,5971,22.7,1.3812496,6.0848,85,OZ,200,A,17,A,1,05/06/2021,0300,17,M,11,N,07,W,26,"MT19B105","17211700105","",,G,29143,0,1704,1096,2,A,17M11N07W26,
2568982,8470,,,,5.6415,77.4,OZ,55.91,A,6.45,A,1,07/05/2021,0100,17,M,13,N,08,W,33,"RH28A105","17211700105","",,G,29143,0,1704,328,1,A,17M13N08W33,
2569080,61290,5990,25.2,22.8756528,90.7764,1170.4,OZ,264,A,76,A,1,07/01/2021,2359,17,M,12,N,08,W,05,"RH36A011","17211700011","",,G,29143,0,1704,355,1,A,17M12N08W05,
2568772,64080,6003,10,.7049,7.049,103.97,OZ,395,A,30.58,A,1,07/09/2021,2359,17,M,13,N,08,W,29,"RH21A011","17211700011","",,G,29143,0,1704,1103,1,A,17M13N08W29,
2568789,70671,560,98,84.084,85.8,85.8,LB,10,A,8.58,A,1,06/14/2021,0200,17,M,14,N,09,W,33,"KV09A497","17211700497","",,G,29143,0,1704,1120,1,A,17M14N09W33,
2568961,56290,3849,40.7,.1210418,.2974,.03,GA,2.5,A,2.5,A,1,06/09/2021,0100,17,M,14,N,06,W,30,"OK00J584","17211700584","",,G,29143,0,1704,865,4,A,17M14N06W30,
2569011,47369,510,1.4,.1049384,7.4956,124.8,OZ,55.91,A,1.95,A,1,07/05/2021,0100,17,M,13,N,08,W,33,"RH28A105","17211700105","",,G,29143,0,1704,37,2,A,17M13N08W33,
2568712,73071,,,,8.7986,130,OZ,65,A,16.25,A,1,06/18/2021,0100,17,M,11,N,05,W,31,"MT35A010","17211700010","",,G,29143,0,1704,552,3,A,17M11N05W31,
2568648,64941,,,,4.1992,64,OZ,4,A,4,A,1,07/17/2021,0400,17,M,14,N,09,W,35,"KV11E104","17201700104","",,G,29143,0,1704,533,2,A,17M14N09W35,
2568140,68752,6064,94.46,30.2937943,32.0705,3.5,GA,7,A,7,A,1,07/29/2021,0800,17,M,13,N,09,W,03,"KV10D107","17201700107","",,G,4003,0,1704,974,1,A,17M13N09W03,
2568654,71697,560,80,136,170,170,LB,34,A,34,A,1,05/27/2021,0500,17,M,14,N,07,W,28,"OK96D105","17211700105","",,G,29143,0,1704,1062,1,A,17M14N07W28,X
2568636,62080,,,,4.2995,75,OZ,60.61,A,18.75,A,1,07/22/2021,0600,17,M,13,N,09,W,16,"KV27A105","17211700105","",,G,29143,0,1704,1081,4,A,17M13N09W16,
2569150,63468,,,,19.219,2.24,GA,72.7,A,71.86,A,1,06/14/2021,0200,17,M,11,N,06,W,05,"HV08A105","17211700105","",,G,29143,0,1704,914,2,A,17M11N06W05,
2568911,50440,5787,22.58,2.11170418,9.3521,1.03,GA,20,A,20,A,1,07/08/2021,0330,17,M,13,N,09,W,05,"KV07A123","17211700123","",,G,29143,0,1704,852,1,A,17M13N09W05,
2568959,64914,560,80,4,5,5,LB,2.5,A,2.5,A,1,06/09/2021,0100,17,M,14,N,06,W,30,"OK00J584","17211700584","",,G,29143,0,1704,863,1,A,17M14N06W30,
2568997,61290,5990,25.2,2.931768,11.634,150,OZ,10,A,10,A,1,07/15/2021,0900,17,M,14,N,10,W,14,"SV61A159","17201700159","",,G,29143,0,1704,1143,1,A,17M14N10W14,
2568284,64151,560,98,107.8,110,110,LB,11,A,11,A,1,07/15/2021,0130,17,M,13,N,09,W,08,"KV15A123","17211700123","",,G,29143,0,1704,1013,1,A,17M13N09W08,
2568141,67523,6083,18.7,2.2897963,12.2449,1.34,GA,12.5,A,12.5,A,1,07/28/2021,2200,17,M,14,N,10,W,02,"LP08A036","17201700036","",,G,4003,0,1704,975,1,A,17M14N10W02,
2568361,49029,2245,40,16.96,42.4,678.4,OZ,169.6,A,169.6,A,1,07/10/2021,0100,17,M,10,N,05,W,06,"MT53D010","17211700010","",,G,29143,0,1704,690,1,A,17M10N05W06,
2568665,30369,560,98,219.2064,223.68,223.68,LB,19,A,18.64,A,1,06/21/2021,0400,17,M,14,N,07,W,28,"OK96B105","17211700105","",,G,29143,0,1704,782,1,A,17M14N07W28,
2568784,61290,5990,25.2,17.7407496,70.3998,907.68,OZ,60,A,58.94,A,1,07/01/2021,2359,17,M,13,N,08,W,29,"RH20A011","17211700011","",,G,29143,0,1704,1115,1,A,17M13N08W29,
2568951,50440,5787,22.58,4.57418866,20.2577,285.58,OZ,107,A,43.27,A,1,07/09/2021,2359,17,M,12,N,07,W,20,"RH73B295","17191700295","",,G,29143,0,1704,1129,1,A,17M12N07W20,
2569002,64941,,,,4.1992,64,OZ,4,A,4,A,1,07/15/2021,0230,17,M,13,N,09,W,02,"KV11C159","17201700159","",,G,29143,0,1704,1148,2,A,17M13N09W02,
2225374,66160,2291,2,5.98322,299.161,32.56,GA,130.25,A,130.25,A,1,07/16/2021,0505,17,M,12,N,08,W,12,"RH49F497","17211700105","",,G,29143,0,1701,90,2,A,17M12N08W12,X
2225418,47369,510,1.4,1.3087634,93.4831,12.16,GA,24.5,A,24.32,A,1,07/19/2021,0530,17,M,14,N,07,W,28,"OK86B105","17211700105","",,G,29143,0,1701,125,2,A,17M14N07W28,
2225420,63468,,,,15.6154,1.82,GA,24.5,A,24.32,A,1,07/19/2021,0530,17,M,14,N,07,W,28,"OK86B105","17211700105","",,G,29143,0,1701,127,3,A,17M14N07W28,
2225437,63468,,,,4.9978,74.56,OZ,19,A,18.64,A,1,07/08/2021,0530,17,M,14,N,07,W,28,"OK96B105","17211700105","",,G,29143,0,1701,144,3,A,17M14N07W28,
2225493,65789,3907,15,2.19375,14.625,234,OZ,21,A,20,A,1,07/27/2021,1300,17,M,15,N,09,W,06,"UL78H041","17211700041","",,G,4003,0,1701,200,1,A,17M15N09W06,
2225508,50851,1344,5.68,1.43107032,25.1949,3,GA,16,A,16,A,1,08/01/2021,0100,17,M,13,N,09,W,05,"KV08A140","17211700140","",,G,4003,0,1701,215,1,A,17M13N09W05,
2225459,67702,5657,50,9.375,18.75,18.75,LB,25,A,25,A,1,07/28/2021,0100,17,M,14,N,10,W,14,"SV62A140","17211700140","",,G,4003,0,1701,166,3,A,17M14N10W14,
2225588,67702,5657,50,16,32,32,LB,40,A,40,A,1,07/22/2021,0100,17,M,13,N,09,W,02,"KV11A140","17211700140","",,G,4003,0,1701,61,1,A,17M13N09W02,
2568916,29543,560,98,6.86,7,7,LB,1,A,1,A,1,05/22/2021,0100,17,M,14,N,06,W,30,"OK00I584","17211700584","",,G,29143,0,1704,857,1,A,17M14N06W30,
2568973,58337,2629,95,1444,1520,1520,LB,76,A,76,A,1,06/16/2021,0100,17,M,14,N,07,W,28,"OK96C105","17211700105","",,G,29143,0,1704,319,1,A,17M14N07W28,
2568658,30369,560,98,33.8394,34.53,34.53,LB,61.68,A,1.73,A,1,06/14/2021,0200,17,M,14,N,07,W,28,"OK96E105","17211700105","",,G,29143,0,1704,1066,1,A,17M14N07W28,
2568467,71697,560,80,419.6,524.5,524.5,LB,150,A,104.9,A,1,06/08/2021,0100,17,M,11,N,07,W,35,"MT19A105","17211700105","",,G,29143,0,1704,499,1,A,17M11N07W35,
2568537,73071,,,,.2809,4.15,OZ,4.6,A,1.73,A,1,07/01/2021,0800,17,M,13,N,09,W,22,"KV49F159","17201700159","",,G,29143,0,1704,213,1,A,17M13N09W22,
2569007,56834,,,,15.2833,213.38,OZ,50,A,16.67,A,1,07/30/2021,0930,17,M,14,N,10,W,14,"SV70A159","17201700159","",,G,66000,0,1704,1153,1,A,17M14N10W14,
2569009,62903,2254,8,2.929728,36.6216,593.6,OZ,169.6,A,169.6,A,1,06/02/2021,0100,17,M,10,N,05,W,06,"MT53D010","17211700010","",,G,29143,0,1704,1155,2,A,17M10N05W06,
2568300,68809,156,23.82,4.0494,17,17,LB,200,A,17,A,1,04/19/2021,0400,17,M,11,N,07,W,26,"MT19B105","17211700105","",,G,29143,0,1704,138,2,A,17M11N07W26,
2568365,64941,,,,63.7746,60.75,PT,100,A,81,A,1,06/02/2021,0100,17,M,10,N,05,W,06,"MT53B010","17211700010","",,G,29143,0,1704,694,3,A,17M10N05W06,
2568333,47369,510,1.4,.2098754,14.9911,1.95,GA,127.5,A,3.9,A,1,06/14/2021,0200,17,M,14,N,07,W,28,"OK86A105","17211700105","",,G,29143,0,1704,467,2,A,17M14N07W28,
2569099,61290,5990,25.2,5.2771824,20.9412,270,OZ,18,A,18,A,1,07/22/2021,0600,17,M,14,N,09,W,33,"KV09C159","17201700159","",,G,29143,0,1704,374,2,A,17M14N09W33,
2568776,59362,5939,11.6,4.0270792,34.7162,493.3,OZ,395,A,98.66,A,1,07/27/2021,2359,17,M,13,N,08,W,29,"RH21A011","17211700011","",,G,29143,0,1704,1107,1,A,17M13N08W29,
2569085,70671,560,98,89.376,91.2,91.2,LB,10,A,9.12,A,1,06/10/2021,0400,17,M,13,N,07,W,27,"RH19A497","17211700497","",,G,29143,0,1704,360,1,A,17M13N07W27,
2568131,73071,,,,7.4504,.86,GA,25,A,8.64,A,1,06/18/2021,1000,17,M,13,N,09,W,02,"KV11B497","17211700497","",,G,29143,0,1704,965,1,A,17M13N09W02,
2568204,58834,3835,25,.6875,2.75,2.75,LB,11,A,11,A,1,01/26/2021,0100,17,M,14,N,06,W,30,"OK00F584","17211700584","",,G,29143,0,1704,444,2,A,17M14N06W30,
2884807,48515,3983,.02,.0029993,14.9965,1.5,GA,10,A,10,A,1,08/30/2021,2100,17,M,13,N,09,W,22,"KV39A595","17211700595","",,G,3009,0,1704,15,1,A,17M13N09W22,X
2686885,58337,2629,95,494,520,520,LB,54.97,A,26,A,1,08/09/2021,0400,17,M,13,N,09,W,05,"KV15H123","17211700123","",,G,29143,0,1701,73,1,A,17M13N09W05,
2686830,67702,5657,50,4.5,9,9,LB,18,A,18,A,1,08/03/2021,0100,17,M,13,N,09,W,02,"KV17G040","17191700040","",,G,4003,0,1701,5,3,A,17M13N09W02,
2686877,56290,3849,40.7,.3630847,.8921,.09,GA,20,A,7,A,1,08/04/2021,0100,17,M,13,N,09,W,05,"KV08F123","17211700123","",,G,29143,0,1701,65,1,A,17M13N09W05,
2686889,47369,510,1.4,.2690716,19.2194,320,OZ,30,A,5,A,1,08/19/2021,1000,17,M,16,N,09,W,31,"UL71C041","17211700041","",,G,29143,0,1701,77,1,A,17M16N09W31,
2686845,68483,861,6.25,5.48608125,87.7773,9.38,GA,50,A,50,A,1,08/02/2021,0800,17,M,14,N,09,W,35,"KV05A104","17201700104","",,G,4003,0,1701,18,1,A,17M14N09W35,
2686857,67523,6083,18.7,2.3239799,12.4277,1.36,GA,53.19,A,12.91,A,1,08/07/2021,0330,17,M,13,N,09,W,20,"KV36B284","17211700284","",,G,29143,0,1701,45,1,A,17M13N09W20,
2686867,30063,2234,30.9,1.5640035,5.0615,80,OZ,30,A,5,A,1,08/16/2021,1000,17,M,16,N,09,W,31,"UL71C041","17211700041","",,G,29143,0,1701,55,1,A,17M16N09W31,
2884821,59362,5939,11.6,.7539884,6.4999,92.36,OZ,60,A,23.09,A,1,08/04/2021,2359,17,M,13,N,08,W,29,"RH20A011","17211700011","",,G,29143,0,1704,29,1,A,17M13N08W29,
2686840,62963,401,98,250.417146,255.5277,36,GA,24,A,24,A,1,08/04/2021,0100,17,M,13,N,09,W,11,"KV17B040","17191700040","",,G,4003,0,1701,13,2,A,17M13N09W11,
2686887,58337,2629,95,494,520,520,LB,54.97,A,26,A,1,08/10/2021,0400,17,M,13,N,09,W,05,"KV15H123","17211700123","",,G,29143,0,1701,75,1,A,17M13N09W05,
2884814,71330,,,,17.676,227.1,OZ,264,A,14.19,A,1,08/02/2021,2359,17,M,12,N,08,W,05,"RH36A011","17211700011","",,G,29143,0,1704,22,1,A,17M12N08W05,
2568585,46546,,,,26.184,2.7,GA,257.22,A,9,A,1,07/13/2021,1500,17,M,10,N,06,W,03,"MT49A372","17211700372","",,G,29143,0,1704,718,3,A,17M10N06W03,
2568343,63468,,,,28.8285,3.36,GA,72.7,A,71.86,A,1,06/24/2021,0100,17,M,11,N,06,W,05,"HV08A105","17211700105","",,G,29143,0,1704,477,2,A,17M11N06W05,
2568353,63468,,,,16.8166,1.96,GA,66.38,A,62.87,A,1,07/02/2021,0100,17,M,14,N,07,W,27,"OK86C105","17211700105","",,G,29143,0,1704,487,3,A,17M14N07W27,
2568993,62901,4000,24.1,.5876785,2.4385,300,OZ,33,A,15,A,1,07/12/2021,1100,17,M,13,N,09,W,22,"KV50J041","17211700041","",,G,29143,0,1704,1139,1,A,17M13N09W22,
