OBJECTID,ECAPS,UNIT_ID,PARK_NAME,SUP_DIST,LAST_NAME,STREET_NUM,STREET_NAM,CITY,ZIP,FULL_ADDRESS,FAC_PHONE,POOL_PHONE,SR_PHONE,PLANNING_AREA,CLASSIFICATION,SPECIAL_USE,RGNL_LOCAL,AGENCY,GIS_ACRES,INVENTORY_ACRES,COMMUNITY_BLDG,SR_CENTER,GYMNASIUM,AUDITORIUM,POOL_BLDG,NATURE_CTR,BOAT_INSTR_CTR,RESTROOM,CONCESS_STND,MULTIPURPOSE_ROOM,CLASSROOM,LIBRARY,DOG_PARK,BOXING_CLUB,COMPUTER_LAB,WEIGHT_ROOM,EXHIBIT_AREA,MUSEUM,HISTORIC_VALUE,CIVIC_ART,MEMORIAL,THEATER,GIFT_SHOP,SHERIFF_SUB_STATION,PICNIC_SHELTER,GROUP_PICNIC_SHELTER,AMPHITHEATER,TICKET_BOOTH,MAINTENANCE_YARD_BLDG,TRASH_ENCLOSURE,BASEBALL_FIELD,SOFTBALL_FIELD,SOCCER_FIELD,WIFI,SYNTHETIC_SOCCER_FIELD,FUTSAL,FOOTBALL_FIELD,CRICKET_FIELD,MULTIPURPOSE_OVERLAY,TENNIS_COURT,BASKETBALL_FULL,BASKETBALL_HALF,VOLLEYBALL_SAND,VOLLEYBALL_HARD,SHUFFLEBOARD_COURT,HANDBALL_COURT,LAWN_BOWLING,SWIMMING_POOL,WADING_POOL,SPLASH_PAD,FITNESS_ZONE,BOATING_AREA,LAKE,BOAT_RENTAL,SWIM_BEACH,SAILING_AREA,FISHING_LAKE,EQUESTRIAN_BOARDING,TRAIL_STAGING_AREAS,HORSE_DRINKER,HORSE_TIES,HORSE_ARENA,MULTIUSE_TRAIL,HORSE_TRAIL,HIKING_TRAIL,BICYCLE_TRAIL,HORSESHOE_PIT,DISC_GOLF_HOLES,BMX_TRACK,IN_GROUND_SKATE_PARK,ABOVE_GROUND_SKATE_PARK,COMMUNITY_GARDEN,SPECIALTY_GARDEN,CONTROL_AIRPLANE_AREA,MODEL_BOAT_AREA,SHOOTING_RANGE,ANIMAL_EXHIBIT,WILDLIFE_SANCTUARY,PLAY_AREA_2_5_YRS,PLAY_AREA_5_12_YRS,PLAY_AREA_2_12_YRS,GOLF_COURSE_HOLES,PUTTING_GREEN,DRIVING_RANGE,CLUB_HOUSE,BANQUET_ROOM,SNACK_SHOP,COFFEE_SHOP,PRO_SHOP,GOLF_CARTS,CAMPING_TENT,CAMPING_GROUP,CAMPING_RV,RV_DUMP_STATION,SHOWERS,BRBQS,OUTDOOR_KITCHEN,PICNIC_TABLES,DRINKING_FOUNTAINS,TELEPHONE,VENDING_MACHINE,BANNERS_KIOSKS,EDUCATIONAL_SIGNAGE,PLAZA,OUTDOOR_STAGE,MAINTENANCE_YARD,SECURITY_LIGHTING,PARKING_ONSITE,PARKING_OSV,SHARED_PARKING,CEN_LAT,CEN_LON,P_Classification_Count,Special_Use_Count,Amenity_A,Amenity_B,Amenity_C,Amenity_D,Text_A,Text_B,Text_C,Shape__Area,Shape__Length
5905,ARC,44522,Arcadia Community Regional Park,5,Arcadia Community Regional Park,405,South Santa Anita Avenue,Arcadia,91006,"405 South Santa Anita Avenue, Arcadia, CA  91006",626-821-4619,626-821-5894,,WSGV,CR,,R,E,52.59719019,52.6,1,0,0,0,1,0,0,4,0,2,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,12,0,0,0,0,6,0,32,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,34.13779689,-118.03429306,0,0,1,0,0,,Santa Anita Recreational Center,San Gabriel Valley District,City of Arcadia,2291126.46679688,6746.32525438414
5906,ATH,6206,Athens Park,2,Athens Park,12603,South Broadway,Los Angeles,90061,"12603 South Broadway, Los Angeles, CA  90061",323-241-6700,323-241-6701,,M,C,,L,S,18.70242544,18.7,1,0,1,0,1,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,30,2,0,0,0,0,0,0,1,1,1,0,0,33.91824671,-118.27955473,1,,0,0,0,,,Central West District,Unincorporated,814675.11328125,3781.8565494859
5907,ATLA,62,Atlantic Avenue Park,1,Atlantic Avenue Park,570,South Atlantic Boulevard,East Los Angeles,90022,"570 South Atlantic Boulevard, East Los Angeles, CA  90022",323-260-2341,,,M,P,,L,E,1.95905825,1.96,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,34.02530367,-118.15520109,0,0,0,0,0,,Belvedere Gardens Park,East Los Angeles District,Unincorporated,85336.3056640625,1132.85760913815
5908,AVOC,24531,Avocado Heights Park,1,Avocado Heights Park,14105,Don Julian Road ,La Puente,91746,"14105 Don Julian Road , La Puente, CA  91746",626-968-2748,,,ESGV,NH,,L,E,8.13671374,8.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,34.03575934,-117.98811291,0,0,0,0,0,,,San Gabriel Valley District,Unincorporated,354434.1484375,3036.29023759217
5909,AVE,45698,Avenue Park,1,Avenue Park,553,South 4th Avenue,La Puente,91746,"553 South 4th Avenue, La Puente, CA  91746",626-369-2514,,,ESGV,NH,,L,E,4.95574473,4.96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,34.0352554,-117.99359686,0,0,0,0,0,,,San Gabriel Valley District,Unincorporated,215871.56640625,2006.65933821714
5910,BASS,2142,Bassett Park,1,Bassett Park,510,North Vineland Avenue ,La Puente,91746,"510 North Vineland Avenue , La Puente, CA  91746",626-333-0959,,,ESGV,NH,,L,E,9.78624581,9.79,2,0,1,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,34.05153921,-117.98682296,1,,0,0,0,,,San Gabriel Valley District,Unincorporated,426287.541992188,2837.98891525375
5911,BELV,4090,Belvedere Community Regional Park,1,Belvedere Community Regional Park,4914,East Cesar Chavez Avenue,Los Angeles,90022,"4914 East Cesar Chavez Avenue, Los Angeles, CA  90022",323-260-2342,323-260-2375,,M,CR,,R,E,30.74831277,30.75,1,0,1,0,1,0,0,2,1,1,3,0,0,0,1,1,0,0,1,2,1,0,0,1,0,4,0,0,1,1,1,2,2,1,0,0,0,0,1,2,2,0,0,0,0,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,34.03879828,-118.15930171,1,,0,0,0,,"Soledad Park & Playground, Repetto Park",East Los Angeles District,Unincorporated,1339392.33789063,5905.66552739225
5912,BETH,4396,Mary M. Bethune Park,2,Bethune Park,1244,East 61st Street,Los Angeles,90001,"1244 East 61st Street, Los Angeles, CA  90001",323-846-1895,323-846-2646,,M,NH,,L,S,5.31487337,5.31,1,0,1,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,11,4,0,0,4,0,0,0,0,4,1,0,0,33.98361981,-118.25303638,1,,0,3,0,,Slauson Avenue Playground,Central West District,Unincorporated,231515.165039063,1990.20687318089
5913,BRC,45642,Big Rock Wash Wildlife Sanctuary,5,Big Rock Wash Wildlife Sanctuary,,E Avenue O and 110th St E,Big Rock,93591," E Avenue O and 110th St E, Big Rock, CA  93591",661-944-6881,,,AV,SU,S,R,R,160.82729971,160.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.61295829,-117.92077353,0,0,0,0,0,,,No District,City of Palmdale,7005615.34570313,10587.5697093413
5914,BLEV,25065,Bill Blevins Park,1,Blevins Park ,19500,East Windrose Drive,Rowland Heights,91748,"19500 East Windrose Drive, Rowland Heights, CA  91748",626-333-1369,,,ESGV,NH,,L,E,5.30169828,5.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,0,1,0,0,0,33.97316284,-117.88006329,0,0,0,0,0,,,Heights District,Unincorporated,230941.26171875,1956.60502378027
5915,BLA,45644,Blalock Wildlife Sanctuary,5,Blalock Wildlife Sanctuary,,Valyermo Rd and E Avenue W-14,Pearblossom,93553," Valyermo Rd and E Avenue W-14, Pearblossom, CA  93553",661-944-6881,,,AV,SU,S,R,R,140.35059911,140.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.49557895,-117.87474154,0,0,0,0,0,,Wildlife Sanctuary,No District,Unincorporated,6113653.04882813,11851.923809539
5916,BODG,24532,Bodger Park,2,Bodger Park,14900,South Yukon Avenue,Hawthorne,90250,"14900 South Yukon Avenue, Hawthorne, CA  90250",310-676-2085,,,SB,C,,L,S,12.39896781,12.44,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,0,0,0,0,0,0,0,1,4,0,1,33.89651545,-118.33368634,0,0,0,0,0,,,Southwest District,Unincorporated,540097.360351563,3750.00651378155
5917,BVLY,100022,Butte Valley Wildflower Sanctuary,5,Butte Valley Wildflower Sanctuary,,E Avenue I and 190th St E,Butte Valley,93535," E Avenue I and 190th St E, Butte Valley, CA  93535",661-944-6881,,,AV,SU,S,R,R,350.50181115,350.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.70092322,-117.7832516,0,0,0,0,0,,,No District,Unincorporated,15267811.3212891,17844.1171953886
5918,,12786,Calabasas Peak,3,zzz  Calabasas Peak/ Tarweed Cold Creek Trail ,,Calabasas Peak Mtwy and Red Rock Rd,Calabasas,90290," Calabasas Peak Mtwy and Red Rock Rd, Calabasas, CA  90290",,,,SMC,U,,,TBD,121.95948463,121.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.10779629,-118.65087273,0,0,0,0,0,,,No District,Unincorporated,5312538.59375,10699.0703834856
5919,ROSA,14365,Carolyn Rosas Park,1,Rosas Park,18500,East Farjardo Street,Rowland Heights,91748,"18500 East Farjardo Street, Rowland Heights, CA  91748",626-854-5557,,,ESGV,NH,,L,E,6.90083784,6.9,1,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,33.97920709,-117.90233816,0,0,0,0,0,,Farjardo Park,Heights District,Unincorporated,300599.559570313,2246.45305925204
5920,,45853,Casa Del Caballero,5,zzz  Casa Del Caballero,,Tanoble Drive,Altadena,91001," Tanoble Drive, Altadena, CA  91001",,,,WSGV,U,,,TBD,0.81503104,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.19588049,-118.11452496,0,0,0,0,0,,,No District,Unincorporated,35502.6474609375,937.352365960204
5921,CAST,44378,Castaic Lake State Recreation Area,5,Castaic Lake State Recreation Area,32132,Castaic Lake Drive,Castaic,91384,"32132 Castaic Lake Drive, Castaic, CA  91384",661-257-4050,,,SC,R,,R,R,12659.73094954,12659.74,0,0,0,0,0,0,1,20,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0,1,15,25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,4,0,1,0,0,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,34.5474913,-118.60032481,0,0,5,5,0,,,No District,Unincorporated,551456161.834961,192237.442536207
